petit;peto, petere, petīvī, petītum (very generally) to go for, go after: 1) to head towards 2) to make an attack on 3) to make a request for
ducit;"dīco, dīcere, dīxī, ductum to pull or go ahead of, especially with the idea of leadership: (physically) to lead along, pull along, draw; (generally) to lead, go head of"
iacet;iaceo, iacēre to be in a reclined position: to lie down, recline
relinquit;relinquo, relinquere, relīquī, relictum to leave (something) behind: to leave behind, abandon, reliquish
latrat;lātro, lātrāre to emit a hoarse noise: to bark
errat;"erro, errāre to depart from the proper place: (of movement) to wander off; (of projectiles) to miss the mark; (morally) to err;"
quaerit;quaero, quaerere, quaesīvī, quaesītum to attempt to find something: to search for, look for, seek
reperit;reperio, reperīre, repperī, repertum to come upon something sought out: to find, discover
ululat;"ululo, ululāre to emit the sound ooo: (of wolves and dogs) to howl; (of people) to wail"
balat;bālo, bālāre to make the sound ba: to bleat, to say ba
sub;sub  (+ abl.) shows position under something: under, beneath, below
supra;suprā  (+ acc.) shows position above something: above, over, over top
aer;āēr, āēris, m.  ( acc . aera) specifically the denser air that mortals breath: air
anima;"anima, ae, f. the air that is breathed, but often applied to the soul: (physically) breath; (metaphysically) the soul, the living spirit, life"
animal;animal, animālis, n. (lit.) that which breathes, including mankind: animal, living creature
homo;homо̄, hominis, c. a member of the human race of either gender: person, human, member of the human race, mankind
bestia;bēstia, ae, f. any animal except for mankind: a beast, brute animal
deus;deus, ī, m. an immortal being: a god, deity, divine being, immortal
avis;avis, is, f. a flying creature: a bird
piscis;piscis, is, m. a creature that lives in the sea--broader than the modern anatomical definition: fish, sea creature
asinus;asinus, ī, m. the horse-like animal often used for transporting heavy burdens: donkey, ass, burro
leo;leо̄, leо̄nis, m. large member of the cat family famous for the male's mane: lion
aquila;aquila, ae, f. large bird of prey: raptor, eagle, hawk, falcon, owl
ala;āla, ae, f. feathered appendage usually used for flying: a wing
pes;pēs, pedis, m. the lowest part of anything, but especially of a animal: the foot
cauda;cauda, ae, f. an extension of the body, hair, or feathers that is found at the end of many animals: tail
petasus;petasus, ī, m. a hat with a brim all the way around it: a brimmed hat
mercator;mercātor, mercātо̄ris, m. someone who deals in goods at the wholesale level: a merchant, wholesaler, dealer, businessman
nuntius;nūntius, ī, m. one who delivers a message (either written or oral): a messenger, message carrier, mail carrier
mare;mare, maris, n. a large, somewhat distinct region of the ocean: a sea, ocean
flumen;flūmen, flūminis, n. (lit.) a flowing, but especially used of large volumes of water: a river, a flowing, flow, flood
pulmo;pulmо̄, pulmо̄nis, m. the organ that takes in breath: the lung
nidus;nīdus, ī, m. an artificial dwelling place, especially made by animals: a nest, lair
ramus;rāmus, ī, m. a large, woody section that comes off of a tree trunk: a branch
folium;"folium, ī, n. the flat, green part of a tree that receives light: (individually) leaf; (collectively) foliage"
ovum;о̄vum, ī, n. the roundish case from which a new animal emerges: an egg
pullus;pullus, ī, m. the young of some animal: chick, puppy, whelp, kid, cub, etc.
pila;pila, ae, f. a spherical toy made of strips of leather sewn-together: a ball
vox;"vо̄x, vо̄cis, f. a sound, especially made by a human or animal: (general) sound; (of animals) call; (of people) voice"
lectus;"lectus, ī, m. a piece of furniture to recline on, especially for sleeping and dining: (for sleeping) bed; (for dining) couch"
ferus;ferus, a, um that has not been tamed: wild, untamed, savage, undomesticated
mortuus;mortuus, a, um that which no longer has life: dead, defunct, deceased
vivus;"vīvus, a, um that which has life (or sometimes movement): (of animals and people) alive, live, living, quick; (of water) running, moving"
crassus;crassus, a, um of great thickness: thick, fat, stout
tenuis;tenuis, is, e of little thickness: thin, skinny, gaunt
perterritus;perterritus, a, um that has great fear: terrified, scared, unnerved
capit;"capio, capere, cēpī, captum to quickly get possession of a thing: (without violence) catch, get, take; (with violence) to capture, seize, sack"
volat;volo, volāre to travel through the air: to fly, float, soar, hover
natat;nato, natāre to travel through the water: to swim, float
movet;"moveo, movēre, mо̄vī, mо̄tum (lit.) to cause a thing to change position, but often with the idea of affecting a thing in other ways: (of position) to move, propel, drive; (of emotions) to stir up, excite, move; (of other qualities) to cause, bring about"
facit;"facio, facere, fēcī, factum (lit.) to make something, but often with the idea of just accomplishing something: (of making) to make, construct, forge, build; (of doing) to do, perform (an action)"
vivit;vīvo, vīvere, vīxī to have life: to live, be alive
spirat;spīro, spīrāre to draw and expel breath: to breathe
parit;"pario, parere, peperī, partum to produce young: (of live birth) to give birth to (a baby, puppy, etc.); (of eggs) to lay (an egg)"
ludit;lūdo, lūdere, lūsī, lūsum to do something for entertainment: to play, make sport, fool around, goof off
canit;"cano, canere, cecinī, cantum to make music: (with the voice) to sing; (on an instrument) to play, make music"
audet;audeo, audēre, --, ausus sum  (+ inf.) to not be deterred from doing something daunting: to dare, have the gall, not be afraid
occultat;occulto, occultāre to cause something to become hidden: to hide, conceal
ascendit;ascendo, ascendere, ascendī, ascensum to go up, especially on hand and foot: to climb up, ascend, rise
sustinet;"sustineo, sustinēre, sustinuī, sustentus (lit.) to hold something up, but sometimes with the idea of not giving in to an external force: to hold up, support, sustain; (of external forces) withstand"
cadit;cado, cadere, cecidī, cāsum to descend out of control: to fall, plummet, precipitate
potest;possum, posse, potuī  (+ inf.) to have the ability to do something: to be able, be capable, have the power
vult;volo, velle, voluī to have a desire to do something: to wish, want, desire
necesse;necesse  (indecl.) that which is forced upon one by circumstances: necessary, required, forced upon someone
corpus;corpus, corporis, n. the main and central or physical part of something: the body
membrum;"membrum, ī, n. a major part, especially of the body: (generally) a part, member; (of the body) limb"
crus;crūs, crūris, n. the limb that supports the foot: the leg
manus;mānus, mānūs, f. the part of the body that grabs things: the hand
bracchium;bracchium, ī, n. the part of the body that supports the hand: the arm
caput;"caput, capitis, n. the top or most important part of anything: (of a body) the head; (of country) the capital city"
auris;auris, is, f. the external organ for hearing: the ear
os;о̄s, о̄ris, n. an opening, especially the one through which food is taken: the mouth
capillus;capillus, ī, m. the hair on top the head: head hair
frons;frons, frontis, f. the part of the head below the hair line and above the eyes: the forehead
cerebrum;cerēbrum, ī, n. the organ of intelligence and understanding: the brain
labrum;lābrum, ī, n. either outer edge of the mouth: lip
lingua;"lingua, ae, f. the part of the mouth used for speaking and swallowing: (lit.) the tongue; (metaphorically) language"
pectus;pectus, pectoris, n. the front and center portion of the torso: the chest, breast
cor;cor, cordis, n. the organ that pumps blood, but also the center of feeling: the heart
sanguis;sanguis, sanguinis, m. the red fluid that is pumped by the heart: (lit.) blood
color;color, colо̄ris, m. color, hue, tint
iecur;iecur, iecoris, n. a major organ important to greeks for taking omens: the liver
venter;"venter, ventris, m. the lower front portion of the torso: (lit.) the belly, gut; (met.) stomach"
viscera;viscera, viscerum, n, pl the upper and lower intestines: the gut, intestines
medicus;medicus, ī, m. one who treats the sick: a doctor, physician
poculum;pо̄culum, ī, n. a vessel for drinking out of: a cup, goblet, chalice, mug
culter;culter, cultrī, m. a small instrument for slicing: a knife, scalpel, razor
humanus;hūmānus, a, um belonging to a human being: human, of mankind
stultus;stultus, a, um characterized by foolish behavior: stupid, foolish
ruber;ruber, rubra, rubrum of a red color: red, ruddy
aeger;aeger, aegra, aegrum of an unhealthy body or mind: unwell, sick, injured
sanus;sānus, a, um of good health: healthy, sound, unharmed
noster;noster, nostra, nostrum belonging to us: our, ours
fluit;fluo, fluere, fluxī (only of liquids) to go: to flow, drip, sputter
sanat;sāno, sānāre to treat one that is unwell: to treat, cure, heal
sedet;sedeo, sedēre, sēdī, sessum to be in a sitting position: to be sitting, to sit
stat;sto, stāre, stetī, statum to be in an upright and fixed position: to stand, be fixed in a spot
tangit;tango, tangere, tetigī, tactum to make contact with something: to touch, reach
arcessit;arcesso, arcessere, arcessīvī, arcessītum to cause someone to come: to call for, send for, summon, invite
iubet;iubeo, iubēre, iussī, iussum  (+ acc & inf) to issue a command: to order, command
revenit;revenio, revenīre , revēnī, reventum to come back to a place one was at previously: to come back, return
aegrotat;aegrо̄to, aegrо̄tāre to be unwell in some respect: to be sick, be unhealthy, be injured
dicit;dīco, dīcere, dīxī, dictum to form words aloud: to say, speak, talk
spectat;specto, spectāre to direct one's gaze at something for some time: to watch, observe, look at
dolet;doleo, dolēre  (+ dat.) to feel pain: to hurt, be in pain, ache examples: crus ei dolet.  (the leg is hurting him) marcus dolet.  (marcus is in pain.)
sentit;sentio, sentīre, sensī, sensum to perceive by sense of touch: to feel, sense
horret;"horreo, horrēre (of hair) to stand on end; (of people) to be shocked with fear or disgust"
palpitat;palpito, palpitāre to make regular, rhythmic movements: (of the heart) to beat, pulsate
putat;puto, putāre  (+ acc. & inf.) to think suppose to be true: to believe, suppose, reckon, think
gaudet;gaudeo, gaudēre, --, gavīsus sum  (+ acc. & inf.) to feel happiness: to be glad, be happy, rejoice examples: marcus gaudet.  (marcus is happy.) marcus solem lucere gaudet . (marcus is happy that the sun is shining)
infra;īnfrā  (+ acc.) below, underneath
de;"dē  (+ abl.) shows motion downwards from: down from, from; concerning"
frater;frāter, frātris, m. male sibling: brother
soror;soror, sorо̄ris, f. female sibling: sister
nomen;"nо̄men, nо̄minis, n. word that designates a person, place, or thing: name, designation, appellation; (grammar) noun"
avunculus;avunculus, ī, m. mother's brother: uncle
miles;mīles, mīlitis, m. one who is armed and trained to fight: soldier, warrior, fighter
gladius;gladius, ī, m. hand-held weapon with a blade, used for hacking and thrusting: sword, blade, saber, scimitar, etc.
scutum;scūtum, ī, n. a large rectangular shield used by roman legionnaires: a wall shield, shield
pilum;pīlum, ī, n. an iron or stone head fixed to a wooden shaft, meant for throwing: a throwing spear, javelin
hasta;hasta, ae, f. metal or stone point fixed to a wooden shaft, meant for thrusting: spear, lance, pike
arma;arma, о̄rum, n.   any kind of offensive or defensive gear, especially for military purposes: arms, weapons, armor, gear, equipment
sagitta;sagitta, ae, f. a metal or stone point attached to a wooden shaft, designed to be launched: an arrow, dart, projectile
arcus;arcus, arcūs, m. a device made of wood or metal and a string, designed to launch arrows: a bow
pugnus;pugnus, ī, m. a hand with all fingers retracted into a ball: a fist, duke
pedes;pedes, peditis, m. a soldier who fights on foot: foot soldier, footman, infantryman
eques;eques, equitis, m. a soldier who fights from horseback: a horseman, cavalryman, knight
pars;pars, partis, f. a smaller portion of a greater whole: a part, piece, portion, fraction
finis;fīnis, is, m. the last part of something: the end, finish
fines;fīnes, fīnium, m., pl. the outer edge of an area: limits, border, boundary
patria;patria, ae, f. the country one is born and raised in: the fatherland, motherland, one's country
hostis;hostis, is, m . opponent in war: an enemy, a hostile, combatant
bellum;bellum, ī, n. a public state of hostilities between two people groups: war
exercitus;exercitus, ūs, m. a large group of trained soldiers: army, host, horde
dux;dux, ducis, m. one that leads: a leader, guide, general
castra;castra, castrо̄rum, n., pl. temporary fortifications, especially for soldiers near enemy territory: fortifications, fort, camp
passus;passus, ūs, m. the distance of the largest step a roman could take: a pace, roman yard, 5 feet
fossa;fossa, ae, f. a long dug-out place in the earth: a trench, ditch, fosse
vallum;vāllum, ī, n. wooden stakes arranged into a defensive structure: palisade, stockade
impetus;impetus, impetūs, m. a forceful offensive movement: a charge, assault, attack
tristis;tristis, is, e of low spirits: unhappy, sad, mournful
armatus;armātus, a, um that has weapons, armor, or equipment: armed, equipped
brevis;brevis, is, e of little length: short, brief
gravis;gravis, is, e of great weight: heavy, weighty, hefty
levis;levis, is, e of little weight: light
barbarus;barbarus, a, um of some nationality other than greek or roman: barbarian, uncivilized
altus;"altus, a, um of great height or altitude: high, tall; (of ocean) deep"
latus;lātus, a, um of great breadth: wide, broad
fortis;fortis, is, e that does not give in to fear or weakness: brave, tough, strong
noster;noster, nostra, nostrum belonging to us: our, ours
vester;vester, vestra, vestrum belonging to you all: ya'lls
fert;fero, ferre, tulī, latum to carry or wear on one's person: to carry, bear, wear
pugnat;pugno, pugnāre to do combat: to fight, brawl, war, quarrel
incolit;incolo, incolere, incoluī (lit.) to maintain a place, but especially with the idea of make a place one's home: to inhabit (a place), dwell in (a place), live in (a place)
dividit;dīvido, dīvidere, dīvīsī, dīvīsum to turn a whole into parts: to divide, split up, partition
oppugnat;oppugno, oppugnāre to make an offensive maneuver: to attack, assault
metuit;metuo, metuere, metuī to have fear: to fear, be afraid of
militat;mīlito, mīlitāre to act as a soldier: to soldier, be a soldier, campaign, go on campaign, be deployed
defendit;defendo, defendere, defendī, defensum (lit.) to knock away, with the idea of protecting oneself: to defend, deflect, protect
iacit;iacio, iacere, iēcī, iactum to cause something to fly in the air: to throw, hurl, project, launch, toss
fugit;fugio, fugere, fūgī, fugitum to run away in fear from something: to flee, run away from
contra;contrā  (+ acc.) shows opposition to something: against, opposing
tempus;tempus, temporis, n. the order of events, the 4th dimension: time, passage of time
dies;"diēs, diēī, c. the time period in which the sun is visible: day, daytime; date"
mensis;"mēnsis, is, m. originally, a complete phase cycle of the moon; later, a period of 30, 31, or 28 days: a month, moon"
annus;annus, ī, m. a cycle of the sun (from the roman point of view), a period of 365 days: a year
saeculum;"saeculum, ī, n. 100 years, or a long period of time: (specifically) a century; (generally) an age"
nox;nox, noctis, f. the time period when the sun cannot be seen: night, nighttime
facies;"faciēs, faciēī, f. the most apparent part of something, especially of the human face: (on a person) the face; (generally) surface, form, appearance"
initium;initium, ī, n. the first part of a thing: a beginning, start, commencement, inception
mane;māne  (indecl.) , n. the first part of the day: the morning, morn, dawn
vesper;vesper, vesperis, f. the last part of the day: the evening, eve, twilight
hora;hо̄ra, ae, f. a time period measuring one twelfth of a day: an hour
meridies;merīdiēs, merīdiēī, m. the middle of the day when the sun is at its highest: noon, midday
luna;lūna, ae, f. the greatest luminary of the night: the moon, diana
stella;stella, ae, f. any minor luminary of the night: a star, planet, comet, meteorite
lux;lūx, lūcis, f.  the rays that emanate from a light source: the light
forma;"fо̄rma, ae, f. (specifically) the outline of a thing, but often the general appearance: (specifically) shape, outline, form, profile; (general) appearance, look, beauty"
aequinoctium;aequinoctium, ī, n. september 22 and march 20, when the length of day and night is the same: equinox
aestas;aestās, aestātis, f. the time of year when days are long and nights are short: summer, summertime
hiems;hiems, hiemis, f. the time of year when days are short and nights are long: winter, wintertime
ver;vēr, vēris, n. the time immediate after winter: spring, springtime
autumnus;autumnus, ī, m. the time immediate before winter: autumn, fall
imber;imber, imbris, m. water precipitating from the sky: rain, rainfall, rainwater
nix;nix, nivis, f. water in crystalline form that precipitates from the sky: snow, sleet, slush
lacus;lacus, lacūs, m. a large body of water that is land locked: a lake, pond, reservoir
glacies;glaciēs, glaciēī, f. frozen water: ice, icicle
urbs;urbs, urbis, f. a large dwelling with an organized government: city, metropolis
ignis;ignis, is, m. any form of combustion: fire, flame, explosion, lightning
postremus;postrēmus, a, um that comes after all the others: the last, hindmost, rearmost
dimidius;dīmidius, a, um that is half of a whole: half-, halved
aequus;"aequus, a, um that has all parts the same: even, level, equal; (of laws) just, fair"
iniquus;"inīquus, a, um that has all parts not the same: uneven, not level; unequal; (of law) unjust, unfair"
clarus;clārus a um that has much light: bright, shining, clear
obscurus;obscūrus, a, um that has little light: dark, dim, dull
exiguus;exiguus, a, um that has a very small size: very small, tiny, wee
calidus;calidus, a, um that has great heat: hot, heated, warm
frigidus;frīgidus, a, um that has little heat: cold, frigid, cool
appellat;appello, appellāre to call (a person) by name: to call, call upon, name
illustrat;illustro, illustrāre to cast light upon: light up, illuminate, brighten
